FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,Acre,Brazil,2021-01-13 05:22:15,-9.0238,-70.812,43432,827,38970,3635,"Acre, Brazil",4924.625964498518,1.9041259900534169
,,Alagoas,Brazil,2021-01-13 05:22:15,-9.5713,-36.782,109319,2577,103446,3296,"Alagoas, Brazil",3275.616003921666,2.357321234186189
,,Amapa,Brazil,2021-01-13 05:22:15,0.902,-52.003,71689,981,54715,15993,"Amapa, Brazil",8476.572338012915,1.3684107743168408
,,Amazonas,Brazil,2021-01-13 05:22:15,-3.4168,-65.8561,218070,5810,181460,30800,"Amazonas, Brazil",5261.5489515627205,2.6642821112486814
,,Bahia,Brazil,2021-01-13 05:22:15,-12.5797,-41.7007,515861,9480,499577,6804,"Bahia, Brazil",3468.4245290681188,1.8377043428365394
,,Ceara,Brazil,2021-01-13 05:22:15,-5.4984,-39.3206,345235,10162,276146,58927,"Ceara, Brazil",3780.4648624332813,2.9435022520891567
,,Distrito Federal,Brazil,2021-01-13 05:22:15,-15.7998,-47.8645,260797,4375,248948,7474,"Distrito Federal, Brazil",8649.214597176768,1.6775499718171605
,,Espirito Santo,Brazil,2021-01-13 05:22:15,-19.1834,-40.3089,267323,5382,243995,17946,"Espirito Santo, Brazil",6652.059771316238,2.0132947782270887
,,Goias,Brazil,2021-01-13 05:22:15,-15.827,-49.8362,320782,6988,309487,4307,"Goias, Brazil",4570.615845253745,2.1784264703131724
,,Maranhao,Brazil,2021-01-13 05:22:15,-4.9609,-45.2744,202314,4575,191545,6194,"Maranhao, Brazil",2859.4886830457062,2.261336338562828
,,Mato Grosso,Brazil,2021-01-13 05:22:15,-12.6819,-56.9211,191315,4635,178504,8176,"Mato Grosso, Brazil",5490.511315076687,2.4227060084154406
,,Mato Grosso do Sul,Brazil,2021-01-13 05:22:15,-20.7722,-54.7852,145048,2587,129646,12815,"Mato Grosso do Sul, Brazil",5219.457744659383,1.7835475153052782
,,Minas Gerais,Brazil,2021-01-13 05:22:15,-18.5122,-44.555,602833,12750,538004,52079,"Minas Gerais, Brazil",2847.744115381932,2.115013610734648
,,Para,Brazil,2021-01-13 05:22:15,-1.9981,-54.9306,303512,7339,283711,12462,"Para, Brazil",3528.0339747281864,2.41802630538496
,,Paraiba,Brazil,2021-01-13 05:22:15,-7.24,-36.782,173518,3836,130673,39009,"Paraiba, Brazil",4318.380180616491,2.210721654237601
,,Parana,Brazil,2021-01-13 05:22:15,-25.2521,-52.0215,486349,8885,350073,127391,"Parana, Brazil",4253.549318053234,1.8268774069649574
,,Pernambuco,Brazil,2021-01-13 05:22:15,-8.8137,-36.9541,234238,9889,198249,26100,"Pernambuco, Brazil",2450.939205118388,4.221774434549475
,,Piaui,Brazil,2021-01-13 05:22:15,-7.7183,-42.7289,148032,2915,144740,377,"Piaui, Brazil",4522.50943793388,1.9691688283614355
,,Rio Grande do Norte,Brazil,2021-01-13 05:22:15,-5.4026,-36.9541,125338,3115,88210,34013,"Rio Grande do Norte, Brazil",3574.087650665711,2.4852798034115753
,,Rio Grande do Sul,Brazil,2021-01-13 05:22:15,-30.0346,-51.2177,485757,9619,457266,18872,"Rio Grande do Sul, Brazil",4269.550811053543,1.9802082111014354
,,Rio de Janeiro,Brazil,2021-01-13 05:22:15,-22.9068,-43.1729,465150,26976,428991,9183,"Rio de Janeiro, Brazil",2694.1878696037397,5.799419542083199
,,Rondonia,Brazil,2021-01-13 05:22:15,-11.5057,-63.5806,103798,1950,85353,16495,"Rondonia, Brazil",5840.453516015135,1.8786489142372684
,,Roraima,Brazil,2021-01-13 05:22:15,-2.7376,-62.0751,69888,795,67408,1685,"Roraima, Brazil",11537.223426400842,1.1375343406593406
,,Santa Catarina,Brazil,2021-01-13 05:22:15,-27.2423,-50.2189,526024,5707,494693,25624,"Santa Catarina, Brazil",7341.794341995883,1.0849314860158472
,,Sao Paulo,Brazil,2021-01-13 05:22:15,-23.5505,-46.6333,1561844,48662,1370112,143070,"Sao Paulo, Brazil",3401.298663654816,3.1156760854477143
,,Sergipe,Brazil,2021-01-13 05:22:15,-10.5741,-37.3857,124276,2595,107105,14576,"Sergipe, Brazil",5406.3695242868125,2.088094241848788
,,Tocantins,Brazil,2021-01-13 05:22:15,-10.1753,-48.2982,93895,1278,83918,8699,"Tocantins, Brazil",5969.675738429084,1.3610948399808296
