FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,Acre,Brazil,2021-01-14 05:22:32,-9.0238,-70.812,43785,829,38970,3986,"Acre, Brazil",4964.651589969782,1.8933424688820373
,,Alagoas,Brazil,2021-01-14 05:22:32,-9.5713,-36.782,109720,2585,103707,3428,"Alagoas, Brazil",3287.6315000163304,2.355997083485235
,,Amapa,Brazil,2021-01-14 05:22:32,0.902,-52.003,72049,987,55223,15839,"Amapa, Brazil",8519.139064312412,1.3699010395702924
,,Amazonas,Brazil,2021-01-14 05:22:32,-3.4168,-65.8561,219544,5879,184732,28933,"Amazonas, Brazil",5297.113326096603,2.677823124293991
,,Bahia,Brazil,2021-01-14 05:22:32,-12.5797,-41.7007,518955,9512,501688,7755,"Bahia, Brazil",3489.2272365667222,1.8329142218496788
,,Ceara,Brazil,2021-01-14 05:22:32,-5.4984,-39.3206,348414,10189,277191,61034,"Ceara, Brazil",3815.276216431792,2.924394542125173
,,Distrito Federal,Brazil,2021-01-14 05:22:32,-15.7998,-47.8645,261456,4388,249638,7430,"Distrito Federal, Brazil",8671.07003423908,1.6782938620647452
,,Espirito Santo,Brazil,2021-01-14 05:22:32,-19.1834,-40.3089,269088,5416,249062,14610,"Espirito Santo, Brazil",6695.979993281326,2.0127244618860742
,,Goias,Brazil,2021-01-14 05:22:32,-15.827,-49.8362,323019,7016,311605,4398,"Goias, Brazil",4602.489415609415,2.172008457706822
,,Maranhao,Brazil,2021-01-14 05:22:32,-4.9609,-45.2744,202574,4583,191778,6213,"Maranhao, Brazil",2863.1635006934803,2.262383129128121
,,Mato Grosso,Brazil,2021-01-14 05:22:32,-12.6819,-56.9211,193054,4654,181026,7374,"Mato Grosso, Brazil",5540.418531849644,2.410724460513639
,,Mato Grosso do Sul,Brazil,2021-01-14 05:22:32,-20.7722,-54.7852,146143,2609,130142,13392,"Mato Grosso do Sul, Brazil",5258.860605990818,1.7852377465906681
,,Minas Gerais,Brazil,2021-01-14 05:22:32,-18.5122,-44.555,611152,12894,544448,53810,"Minas Gerais, Brazil",2887.0425335107707,2.1097861088567167
,,Para,Brazil,2021-01-14 05:22:32,-1.9981,-54.9306,305012,7349,285714,11949,"Para, Brazil",3545.470026555107,2.4094134001285195
,,Paraiba,Brazil,2021-01-14 05:22:32,-7.24,-36.782,174199,3844,131239,39116,"Paraiba, Brazil",4335.328375633722,2.206671680090012
,,Parana,Brazil,2021-01-14 05:22:32,-25.2521,-52.0215,486843,8916,356699,121228,"Parana, Brazil",4257.869782088564,1.8313912287944984
,,Pernambuco,Brazil,2021-01-14 05:22:32,-8.8137,-36.9541,236041,9919,199536,26586,"Pernambuco, Brazil",2469.804817814998,4.202236052211268
,,Piaui,Brazil,2021-01-14 05:22:32,-7.7183,-42.7289,148867,2922,145537,408,"Piaui, Brazil",4548.01943158846,1.96282587813283
,,Rio Grande do Norte,Brazil,2021-01-14 05:22:32,-5.4026,-36.9541,125550,3125,88210,34215,"Rio Grande do Norte, Brazil",3580.132956813417,2.489048187972919
,,Rio Grande do Sul,Brazil,2021-01-14 05:22:32,-30.0346,-51.2177,490980,9699,464971,16310,"Rio Grande do Sul, Brazil",4315.458258370067,1.9754368813393621
,,Rio de Janeiro,Brazil,2021-01-14 05:22:32,-22.9068,-43.1729,469437,27241,435411,6785,"Rio de Janeiro, Brazil",2719.018533684125,5.802908590503092
,,Rondonia,Brazil,2021-01-14 05:22:32,-11.5057,-63.5806,104737,1965,86545,16227,"Rondonia, Brazil",5893.288694453431,1.8761278249329272
,,Roraima,Brazil,2021-01-14 05:22:32,-2.7376,-62.0751,70086,800,67408,1878,"Roraima, Brazil",11569.909584803247,1.141454784122364
,,Santa Catarina,Brazil,2021-01-14 05:22:32,-27.2423,-50.2189,529389,5765,500385,23239,"Santa Catarina, Brazil",7388.7601419609355,1.0889912710691003
,,Sao Paulo,Brazil,2021-01-14 05:22:32,-23.5505,-46.6333,1577119,48985,1373425,154709,"Sao Paulo, Brazil",3434.563725394226,3.105979954588081
,,Sergipe,Brazil,2021-01-14 05:22:32,-10.5741,-37.3857,124942,2607,108673,13662,"Sergipe, Brazil",5435.342472427846,2.08656816762978
,,Tocantins,Brazil,2021-01-14 05:22:32,-10.1753,-48.2982,94381,1286,84117,8978,"Tocantins, Brazil",6000.574746990526,1.3625623801400706
