FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,Acre,Brazil,2021-01-16 05:22:40,-9.0238,-70.812,44156,835,38970,4351,"Acre, Brazil",5006.718182178959,1.8910227375668085
,,Alagoas,Brazil,2021-01-16 05:22:40,-9.5713,-36.782,110572,2602,104789,3181,"Alagoas, Brazil",3313.160683738659,2.3532178128278405
,,Amapa,Brazil,2021-01-16 05:22:40,0.902,-52.003,72824,994,56361,15469,"Amapa, Brazil",8610.775766762717,1.3649346369328792
,,Amazonas,Brazil,2021-01-16 05:22:40,-3.4168,-65.8561,226511,6043,185989,34479,"Amazonas, Brazil",5465.21169609494,2.6678616049551676
,,Bahia,Brazil,2021-01-16 05:22:40,-12.5797,-41.7007,528539,9575,508189,10775,"Bahia, Brazil",3553.6658754376367,1.8115976304492194
,,Ceara,Brazil,2021-01-16 05:22:40,-5.4984,-39.3206,351351,10209,278015,63127,"Ceara, Brazil",3847.437571163978,2.905641367179829
,,Distrito Federal,Brazil,2021-01-16 05:22:40,-15.7998,-47.8645,262928,4406,250567,7955,"Distrito Federal, Brazil",8719.888248739415,1.6757439298971581
,,Espirito Santo,Brazil,2021-01-16 05:22:40,-19.1834,-40.3089,272957,5469,254434,13054,"Espirito Santo, Brazil",6792.256105906214,2.0036122905805676
,,Goias,Brazil,2021-01-16 05:22:40,-15.827,-49.8362,327030,7072,314444,5514,"Goias, Brazil",4659.6395679100815,2.162492737669327
,,Maranhao,Brazil,2021-01-16 05:22:40,-4.9609,-45.2744,203156,4594,191960,6602,"Maranhao, Brazil",2871.3894386588845,2.2613164267853274
,,Mato Grosso,Brazil,2021-01-16 05:22:40,-12.6819,-56.9211,196313,4689,183472,8152,"Mato Grosso, Brazil",5633.9479277456,2.3885325984524712
,,Mato Grosso do Sul,Brazil,2021-01-16 05:22:40,-20.7722,-54.7852,148415,2648,133167,12600,"Mato Grosso do Sul, Brazil",5340.617045210015,1.7841862345450257
,,Minas Gerais,Brazil,2021-01-16 05:22:40,-18.5122,-44.555,628966,13182,557815,57969,"Minas Gerais, Brazil",2971.194717733289,2.0958207597866974
,,Para,Brazil,2021-01-16 05:22:40,-1.9981,-54.9306,307520,7376,287884,12260,"Para, Brazil",3574.6231052097182,2.3985431841831426
,,Paraiba,Brazil,2021-01-16 05:22:40,-7.24,-36.782,175997,3869,132352,39776,"Paraiba, Brazil",4380.0755924339865,2.1983329261294227
,,Parana,Brazil,2021-01-16 05:22:40,-25.2521,-52.0215,497505,9042,362379,126084,"Parana, Brazil",4351.118339871315,1.8174691711641089
,,Pernambuco,Brazil,2021-01-16 05:22:40,-8.8137,-36.9541,239155,9964,200524,28667,"Pernambuco, Brazil",2502.3880224390923,4.166335640066066
,,Piaui,Brazil,2021-01-16 05:22:40,-7.7183,-42.7289,150374,2935,147653,-214,"Piaui, Brazil",4594.059623729121,1.9518001782222991
,,Rio Grande do Norte,Brazil,2021-01-16 05:22:40,-5.4026,-36.9541,127847,3149,91645,33053,"Rio Grande do Norte, Brazil",3645.633278611907,2.4631004247264308
,,Rio Grande do Sul,Brazil,2021-01-16 05:22:40,-30.0346,-51.2177,500792,9838,473148,17806,"Rio Grande do Sul, Brazil",4401.700623499251,1.9644882506110322
,,Rio de Janeiro,Brazil,2021-01-16 05:22:40,-22.9068,-43.1729,477044,27591,441796,7657,"Rio de Janeiro, Brazil",2763.078916623125,5.783743218654883
,,Rondonia,Brazil,2021-01-16 05:22:40,-11.5057,-63.5806,107332,1993,88545,16794,"Rondonia, Brazil",6039.302845728594,1.8568553646629151
,,Roraima,Brazil,2021-01-16 05:22:40,-2.7376,-62.0751,70475,805,67408,2262,"Roraima, Brazil",11634.126330351408,1.142249024476765
,,Santa Catarina,Brazil,2021-01-16 05:22:40,-27.2423,-50.2189,537036,5836,509835,21365,"Santa Catarina, Brazil",7495.49044577453,1.0867055467417455
,,Sao Paulo,Brazil,2021-01-16 05:22:40,-23.5505,-46.6333,1605845,49600,1378152,178093,"Sao Paulo, Brazil",3497.1216411733612,3.088716532417512
,,Sergipe,Brazil,2021-01-16 05:22:40,-10.5741,-37.3857,127349,2629,113603,11117,"Sergipe, Brazil",5540.05401323185,2.0644056883053654
,,Tocantins,Brazil,2021-01-16 05:22:40,-10.1753,-48.2982,95503,1301,84979,9223,"Tocantins, Brazil",6071.90949515089,1.3622608713862392
