FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,Acre,Brazil,2021-01-03 05:22:52,-9.0238,-70.812,41941,798,33693,7450,"Acre, Brazil",4755.565886374846,1.9026728022698554
,,Alagoas,Brazil,2021-01-03 05:22:52,-9.5713,-36.782,105361,2502,100531,2328,"Alagoas, Brazil",3157.0191621693452,2.3746927231138657
,,Amapa,Brazil,2021-01-03 05:22:52,0.902,-52.003,68441,927,52777,14737,"Amapa, Brazil",8092.52587406634,1.354451279203986
,,Amazonas,Brazil,2021-01-03 05:22:52,-3.4168,-65.8561,201867,5325,171819,24723,"Amazonas, Brazil",4870.606237470133,2.63787543283449
,,Bahia,Brazil,2021-01-03 05:22:52,-12.5797,-41.7007,495286,9187,481009,5090,"Bahia, Brazil",3330.0871965588262,1.8548878829605522
,,Ceara,Brazil,2021-01-03 05:22:52,-5.4984,-39.3206,336574,10015,270203,56356,"Ceara, Brazil",3685.623359765433,2.9755714939359548
,,Distrito Federal,Brazil,2021-01-03 05:22:52,-15.7998,-47.8645,252874,4268,241952,6654,"Distrito Federal, Brazil",8386.451884210624,1.6877970847141264
,,Espirito Santo,Brazil,2021-01-03 05:22:52,-19.1834,-40.3089,250227,5113,229191,15923,"Espirito Santo, Brazil",6226.643275726922,2.043344643064098
,,Goias,Brazil,2021-01-03 05:22:52,-15.827,-49.8362,309194,6805,298693,3696,"Goias, Brazil",4405.505906370639,2.200883587650472
,,Maranhao,Brazil,2021-01-03 05:22:52,-4.9609,-45.2744,200976,4513,190889,5574,"Maranhao, Brazil",2840.5775060736964,2.2455417562295996
,,Mato Grosso,Brazil,2021-01-03 05:22:52,-12.6819,-56.9211,179938,4475,170648,4815,"Mato Grosso, Brazil",5164.005044101449,2.4869677333303692
,,Mato Grosso do Sul,Brazil,2021-01-03 05:22:52,-20.7722,-54.7852,135361,2360,119295,13706,"Mato Grosso do Sul, Brazil",4870.877363182111,1.743485937603889
,,Minas Gerais,Brazil,2021-01-03 05:22:52,-18.5122,-44.555,549302,12023,496011,41268,"Minas Gerais, Brazil",2594.867132468737,2.188777757954641
,,Para,Brazil,2021-01-03 05:22:52,-1.9981,-54.9306,293807,7209,276014,10584,"Para, Brazil",3415.222719408011,2.453651546763692
,,Paraiba,Brazil,2021-01-03 05:22:52,-7.24,-36.782,167615,3692,127509,36414,"Paraiba, Brazil",4171.47093658314,2.2026668257614177
,,Parana,Brazil,2021-01-03 05:22:52,-25.2521,-52.0215,419615,8001,306432,105182,"Parana, Brazil",3669.9018546247808,1.906747852197848
,,Pernambuco,Brazil,2021-01-03 05:22:52,-8.8137,-36.9541,223325,9674,189942,23709,"Pernambuco, Brazil",2336.751500538188,4.331803425500952
,,Piaui,Brazil,2021-01-03 05:22:52,-7.7183,-42.7289,143210,2848,140229,133,"Piaui, Brazil",4375.1930434400065,1.9886879407862579
,,Rio Grande do Norte,Brazil,2021-01-03 05:22:52,-5.4026,-36.9541,118691,2995,68394,47302,"Rio Grande do Norte, Brazil",3384.544490459109,2.5233589741429427
,,Rio Grande do Sul,Brazil,2021-01-03 05:22:52,-30.0346,-51.2177,452920,8934,430061,13925,"Rio Grande do Sul, Brazil",3980.930698564037,1.9725337808001413
,,Rio de Janeiro,Brazil,2021-01-03 05:22:52,-22.9068,-43.1729,435604,25608,405164,4832,"Rio de Janeiro, Brazil",2523.0549559300603,5.878733895923821
,,Rondonia,Brazil,2021-01-03 05:22:52,-11.5057,-63.5806,96433,1825,81914,12694,"Rondonia, Brazil",5426.043410372913,1.8925056775170326
,,Roraima,Brazil,2021-01-03 05:22:52,-2.7376,-62.0751,68858,787,65405,2666,"Roraima, Brazil",11367.18937006509,1.1429318307240988
,,Santa Catarina,Brazil,2021-01-03 05:22:52,-27.2423,-50.2189,496524,5294,469769,21461,"Santa Catarina, Brazil",6930.0585027777515,1.0662123079649726
,,Sao Paulo,Brazil,2021-01-03 05:22:52,-23.5505,-46.6333,1467953,46808,1294620,126525,"Sao Paulo, Brazil",3196.827965666275,3.188657947495594
,,Sergipe,Brazil,2021-01-03 05:22:52,-10.5741,-37.3857,113916,2500,99959,11457,"Sergipe, Brazil",4955.679219870744,2.194599529477861
,,Tocantins,Brazil,2021-01-03 05:22:52,-10.1753,-48.2982,90592,1239,81133,8220,"Tocantins, Brazil",5759.676920983733,1.3676704344754504
