FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,Acre,Brazil,2021-01-09 05:22:18,-9.0238,-70.812,42814,823,37712,4279,"Acre, Brazil",4854.552773163556,1.9222684168729856
,,Alagoas,Brazil,2021-01-09 05:22:18,-9.5713,-36.782,107628,2545,102092,2991,"Alagoas, Brazil",3224.947166275589,2.3646263054223806
,,Amapa,Brazil,2021-01-09 05:22:18,0.902,-52.003,70344,962,53850,15532,"Amapa, Brazil",8317.538318921737,1.367565108609121
,,Amazonas,Brazil,2021-01-09 05:22:18,-3.4168,-65.8561,208798,5546,177124,26128,"Amazonas, Brazil",5037.836006733586,2.6561557103037385
,,Bahia,Brazil,2021-01-09 05:22:18,-12.5797,-41.7007,508695,9364,493064,6267,"Bahia, Brazil",3420.2434683263646,1.840788684771818
,,Ceara,Brazil,2021-01-09 05:22:18,-5.4984,-39.3206,342941,10122,274636,58183,"Ceara, Brazil",3755.344621454175,2.95152810541755
,,Distrito Federal,Brazil,2021-01-09 05:22:18,-15.7998,-47.8645,257355,4345,246609,6401,"Distrito Federal, Brazil",8535.06222332476,1.688329350508053
,,Espirito Santo,Brazil,2021-01-09 05:22:18,-19.1834,-40.3089,260836,5285,240711,14840,"Espirito Santo, Brazil",6490.637403108009,2.0261773681547024
,,Goias,Brazil,2021-01-09 05:22:18,-15.827,-49.8362,316197,6946,304600,4651,"Goias, Brazil",4505.2871371264555,2.1967317842990286
,,Maranhao,Brazil,2021-01-09 05:22:18,-4.9609,-45.2744,201745,4549,191431,5765,"Maranhao, Brazil",2851.4464859626914,2.254826637587053
,,Mato Grosso,Brazil,2021-01-09 05:22:18,-12.6819,-56.9211,187183,4577,176458,6148,"Mato Grosso, Brazil",5371.9278649870585,2.4452006859597293
,,Mato Grosso do Sul,Brazil,2021-01-09 05:22:18,-20.7722,-54.7852,141649,2511,126466,12672,"Mato Grosso do Sul, Brazil",5097.146944964818,1.77269165331206
,,Minas Gerais,Brazil,2021-01-09 05:22:18,-18.5122,-44.555,579469,12469,520733,46267,"Minas Gerais, Brazil",2737.37408999881,2.151797594004166
,,Para,Brazil,2021-01-09 05:22:18,-1.9981,-54.9306,299045,7280,281247,10518,"Para, Brazil",3476.1094123876173,2.4344162249828623
,,Paraiba,Brazil,2021-01-09 05:22:18,-7.24,-36.782,171547,3788,129902,37857,"Paraiba, Brazil",4269.327475214198,2.2081412091147032
,,Parana,Brazil,2021-01-09 05:22:18,-25.2521,-52.0215,463309,8629,312210,142470,"Parana, Brazil",4052.0442747860607,1.8624719139926054
,,Pernambuco,Brazil,2021-01-09 05:22:18,-8.8137,-36.9541,229701,9789,195518,24394,"Pernambuco, Brazil",2403.4665013998533,4.261627071714969
,,Piaui,Brazil,2021-01-09 05:22:18,-7.7183,-42.7289,145997,2891,143513,-407,"Piaui, Brazil",4460.338375554155,1.9801776748837305
,,Rio Grande do Norte,Brazil,2021-01-09 05:22:18,-5.4026,-36.9541,122591,3078,88210,31303,"Rio Grande do Norte, Brazil",3495.7553111008647,2.510787904495436
,,Rio Grande do Sul,Brazil,2021-01-09 05:22:18,-30.0346,-51.2177,474917,9359,450073,15485,"Rio Grande do Sul, Brazil",4174.2728618076835,1.970660136402782
,,Rio de Janeiro,Brazil,2021-01-09 05:22:18,-22.9068,-43.1729,454275,26480,421587,6208,"Rio de Janeiro, Brazil",2631.198956173791,5.829068295635904
,,Rondonia,Brazil,2021-01-09 05:22:18,-11.5057,-63.5806,100343,1899,84316,14128,"Rondonia, Brazil",5646.049318459958,1.8925086951755479
,,Roraima,Brazil,2021-01-09 05:22:18,-2.7376,-62.0751,69461,793,66262,2406,"Roraima, Brazil",11466.733579745149,1.1416478311570522
,,Santa Catarina,Brazil,2021-01-09 05:22:18,-27.2423,-50.2189,515209,5584,490200,19425,"Santa Catarina, Brazil",7190.847796194388,1.0838319982764277
,,Sao Paulo,Brazil,2021-01-09 05:22:18,-23.5505,-46.6333,1528952,48029,1340014,140909,"Sao Paulo, Brazil",3329.668260333527,3.1413020160214318
,,Sergipe,Brazil,2021-01-09 05:22:18,-10.5741,-37.3857,120262,2554,105553,12155,"Sergipe, Brazil",5231.748782788155,2.123696595765911
,,Tocantins,Brazil,2021-01-09 05:22:18,-10.1753,-48.2982,92445,1263,82726,8456,"Tocantins, Brazil",5877.487338400093,1.3662177510952458
