FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,Acre,Brazil,2021-01-05 05:21:49,-9.0238,-70.812,42117,806,33693,7618,"Acre, Brazil",4775.522005589981,1.9137165515112662
,,Alagoas,Brazil,2021-01-05 05:21:49,-9.5713,-36.782,106032,2515,101272,2245,"Alagoas, Brazil",3177.1248925422124,2.3719254564659726
,,Amapa,Brazil,2021-01-05 05:21:49,0.902,-52.003,68775,936,52942,14897,"Amapa, Brazil",8132.0183367997615,1.360959651035987
,,Amazonas,Brazil,2021-01-05 05:21:49,-3.4168,-65.8561,202972,5368,172310,25294,"Amazonas, Brazil",4897.267454471447,2.644699761543464
,,Bahia,Brazil,2021-01-05 05:21:49,-12.5797,-41.7007,496823,9246,483275,4302,"Bahia, Brazil",3340.4213146665675,1.8610249525484932
,,Ceara,Brazil,2021-01-05 05:21:49,-5.4984,-39.3206,336975,10025,271449,55501,"Ceara, Brazil",3690.014474252191,2.974998145263002
,,Distrito Federal,Brazil,2021-01-05 05:21:49,-15.7998,-47.8645,254310,4289,244292,5729,"Distrito Federal, Brazil",8434.076174986767,1.6865243207109433
,,Espirito Santo,Brazil,2021-01-05 05:21:49,-19.1834,-40.3089,253115,5176,231657,16282,"Espirito Santo, Brazil",6298.508205491895,2.0449202931473835
,,Goias,Brazil,2021-01-05 05:21:49,-15.827,-49.8362,309976,6857,299660,3459,"Goias, Brazil",4416.648120057779,2.212106743747903
,,Maranhao,Brazil,2021-01-05 05:21:49,-4.9609,-45.2744,201093,4524,190921,5648,"Maranhao, Brazil",2842.2311740151945,2.249705360206472
,,Mato Grosso,Brazil,2021-01-05 05:21:49,-12.6819,-56.9211,181193,4509,172096,4588,"Mato Grosso, Brazil",5200.022040679978,2.4885067303924546
,,Mato Grosso do Sul,Brazil,2021-01-05 05:21:49,-20.7722,-54.7852,136250,2398,121599,12253,"Mato Grosso do Sul, Brazil",4902.867448774481,1.76
,,Minas Gerais,Brazil,2021-01-05 05:21:49,-18.5122,-44.555,552104,12063,498063,41978,"Minas Gerais, Brazil",2608.1035993033333,2.1849144364105313
,,Para,Brazil,2021-01-05 05:21:49,-1.9981,-54.9306,294224,7223,277446,9555,"Para, Brazil",3420.0699418158947,2.454932296481592
,,Paraiba,Brazil,2021-01-05 05:21:49,-7.24,-36.782,168179,3722,127619,36838,"Paraiba, Brazil",4185.507327170097,2.213118165763859
,,Parana,Brazil,2021-01-05 05:21:49,-25.2521,-52.0215,423041,8060,307461,107520,"Parana, Brazil",3699.8652347564366,1.9052526823641207
,,Pernambuco,Brazil,2021-01-05 05:21:49,-8.8137,-36.9541,223845,9691,190917,23237,"Pernambuco, Brazil",2342.192498099052,4.329335030936585
,,Piaui,Brazil,2021-01-05 05:21:49,-7.7183,-42.7289,143651,2856,140420,375,"Piaui, Brazil",4388.665986196496,1.988151840223876
,,Rio Grande do Norte,Brazil,2021-01-05 05:21:49,-5.4026,-36.9541,119186,3011,68394,47781,"Rio Grande do Norte, Brazil",3398.6597100021013,2.5263034248988974
,,Rio Grande do Sul,Brazil,2021-01-05 05:21:49,-30.0346,-51.2177,455326,9018,433416,12892,"Rio Grande do Sul, Brazil",4002.078184346835,1.980558984112482
,,Rio de Janeiro,Brazil,2021-01-05 05:21:49,-22.9068,-43.1729,439345,25617,406718,7010,"Rio de Janeiro, Brazil",2544.7231421499623,5.830725284229933
,,Rondonia,Brazil,2021-01-05 05:21:49,-11.5057,-63.5806,97197,1840,82665,12692,"Rondonia, Brazil",5469.031777068181,1.8930625430826054
,,Roraima,Brazil,2021-01-05 05:21:49,-2.7376,-62.0751,68947,787,65405,2755,"Roraima, Brazil",11381.881633185363,1.141456481065166
,,Santa Catarina,Brazil,2021-01-05 05:21:49,-27.2423,-50.2189,498910,5376,478526,15008,"Santa Catarina, Brazil",6963.360255739598,1.0775490569441382
,,Sao Paulo,Brazil,2021-01-05 05:21:49,-23.5505,-46.6333,1473670,46888,1314843,111939,"Sao Paulo, Brazil",3209.278136400429,3.1817163951223817
,,Sergipe,Brazil,2021-01-05 05:21:49,-10.5741,-37.3857,115636,2516,101564,11556,"Sergipe, Brazil",5030.504251105845,2.1757930056383823
,,Tocantins,Brazil,2021-01-05 05:21:49,-10.1753,-48.2982,90860,1244,81422,8194,"Tocantins, Brazil",5776.7158804373685,1.3691393352410302
