FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,Acre,Brazil,2021-01-08 05:22:42,-9.0238,-70.812,42478,821,37712,3945,"Acre, Brazil",4816.454727389207,1.9327651961015113
,,Alagoas,Brazil,2021-01-08 05:22:42,-9.5713,-36.782,107279,2537,102092,2650,"Alagoas, Brazil",3214.4897893752445,2.364861715713234
,,Amapa,Brazil,2021-01-08 05:22:42,0.902,-52.003,69874,956,53600,15318,"Amapa, Brazil",8261.965092919616,1.3681770043220653
,,Amazonas,Brazil,2021-01-08 05:22:42,-3.4168,-65.8561,208798,5546,175687,27565,"Amazonas, Brazil",5037.836006733586,2.6561557103037385
,,Bahia,Brazil,2021-01-08 05:22:42,-12.5797,-41.7007,505918,9333,490725,5860,"Bahia, Brazil",3401.572130665208,1.8447653572318043
,,Ceara,Brazil,2021-01-08 05:22:42,-5.4984,-39.3206,341276,10096,273923,57257,"Ceara, Brazil",3737.1121884854683,2.9583094035326245
,,Distrito Federal,Brazil,2021-01-08 05:22:42,-15.7998,-47.8645,256682,4337,246091,6254,"Distrito Federal, Brazil",8512.742482591928,1.6896393202484008
,,Espirito Santo,Brazil,2021-01-08 05:22:42,-19.1834,-40.3089,258799,5259,238355,15185,"Espirito Santo, Brazil",6439.948739004392,2.0320789493004225
,,Goias,Brazil,2021-01-08 05:22:42,-15.827,-49.8362,314466,6918,303839,3709,"Goias, Brazil",4480.623234450699,2.1999198641506554
,,Maranhao,Brazil,2021-01-08 05:22:42,-4.9609,-45.2744,201641,4542,191381,5718,"Maranhao, Brazil",2849.976558903581,2.252518089079106
,,Mato Grosso,Brazil,2021-01-08 05:22:42,-12.6819,-56.9211,185825,4564,175567,5694,"Mato Grosso, Brazil",5332.954891796907,2.456074263419884
,,Mato Grosso do Sul,Brazil,2021-01-08 05:22:42,-20.7722,-54.7852,140463,2486,124839,13138,"Mato Grosso do Sul, Brazil",5054.469507942825,1.7698611022119703
,,Minas Gerais,Brazil,2021-01-08 05:22:42,-18.5122,-44.555,571657,12366,515325,43966,"Minas Gerais, Brazil",2700.4707070895074,2.163185266689641
,,Para,Brazil,2021-01-08 05:22:42,-1.9981,-54.9306,297974,7263,280285,10426,"Para, Brazil",3463.6600713831963,2.437460986529026
,,Paraiba,Brazil,2021-01-08 05:22:42,-7.24,-36.782,170611,3773,129355,37483,"Paraiba, Brazil",4246.0330397720145,2.2114635046978215
,,Parana,Brazil,2021-01-08 05:22:42,-25.2521,-52.0215,463309,8630,312210,142469,"Parana, Brazil",4052.0442747860607,1.8626877526661472
,,Pernambuco,Brazil,2021-01-08 05:22:42,-8.8137,-36.9541,228451,9763,195518,23170,"Pernambuco, Brazil",2390.3871803400853,4.273564134103156
,,Piaui,Brazil,2021-01-08 05:22:42,-7.7183,-42.7289,145384,2882,142737,-235,"Piaui, Brazil",4441.6106796137265,1.9823364331700875
,,Rio Grande do Norte,Brazil,2021-01-08 05:22:42,-5.4026,-36.9541,121439,3067,68394,49978,"Rio Grande do Norte, Brazil",3462.9053456189918,2.5255478058943175
,,Rio Grande do Sul,Brazil,2021-01-08 05:22:42,-30.0346,-51.2177,470138,9293,446187,14658,"Rio Grande do Sul, Brazil",4132.2679430396065,1.9766536633924507
,,Rio de Janeiro,Brazil,2021-01-08 05:22:42,-22.9068,-43.1729,452758,26292,416229,10237,"Rio de Janeiro, Brazil",2622.412364755563,5.807075744658294
,,Rondonia,Brazil,2021-01-08 05:22:42,-11.5057,-63.5806,99595,1890,83633,14072,"Rondonia, Brazil",5603.96123169548,1.8976856267884934
,,Roraima,Brazil,2021-01-08 05:22:42,-2.7376,-62.0751,69326,793,66262,2271,"Roraima, Brazil",11444.447562652598,1.143870986354326
,,Santa Catarina,Brazil,2021-01-08 05:22:42,-27.2423,-50.2189,511329,5522,487644,18163,"Santa Catarina, Brazil",7136.694065476885,1.0799309250991045
,,Sao Paulo,Brazil,2021-01-08 05:22:42,-23.5505,-46.6333,1515158,47768,1336589,130801,"Sao Paulo, Brazil",3299.6284396046613,3.152674506553112
,,Sergipe,Brazil,2021-01-08 05:22:42,-10.5741,-37.3857,119045,2544,104999,11502,"Sergipe, Brazil",5178.805722896807,2.1370070141543116
,,Tocantins,Brazil,2021-01-08 05:22:42,-10.1753,-48.2982,92000,1257,82343,8400,"Tocantins, Brazil",5849.19503632223,1.366304347826087
