FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,Acre,Brazil,2021-01-04 05:22:02,-9.0238,-70.812,42046,802,33693,7551,"Acre, Brazil",4767.47152567933,1.9074347143604624
,,Alagoas,Brazil,2021-01-04 05:22:02,-9.5713,-36.782,105714,2509,100967,2238,"Alagoas, Brazil",3167.596394392329,2.3733847929318728
,,Amapa,Brazil,2021-01-04 05:22:02,0.902,-52.003,68568,927,52777,14864,"Amapa, Brazil",8107.54246917755,1.3519425971298564
,,Amazonas,Brazil,2021-01-04 05:22:02,-3.4168,-65.8561,202413,5345,172310,24758,"Amazonas, Brazil",4883.780015282548,2.6406406703126777
,,Bahia,Brazil,2021-01-04 05:22:02,-12.5797,-41.7007,496008,9218,482039,4751,"Bahia, Brazil",3334.941609879444,1.858437767132788
,,Ceara,Brazil,2021-01-04 05:22:02,-5.4984,-39.3206,336763,10024,270790,55949,"Ceara, Brazil",3687.6929872916107,2.9765740298073124
,,Distrito Federal,Brazil,2021-01-04 05:22:02,-15.7998,-47.8645,253355,4269,243470,5616,"Distrito Federal, Brazil",8402.40403174776,1.6849874681770638
,,Espirito Santo,Brazil,2021-01-04 05:22:02,-19.1834,-40.3089,251643,5122,229191,17330,"Espirito Santo, Brazil",6261.878989212795,2.0354231987378943
,,Goias,Brazil,2021-01-04 05:22:02,-15.827,-49.8362,309341,6805,299025,3511,"Goias, Brazil",4407.60041457014,2.199837719539279
,,Maranhao,Brazil,2021-01-04 05:22:02,-4.9609,-45.2744,201017,4518,190889,5610,"Maranhao, Brazil",2841.156996548922,2.247571100951661
,,Mato Grosso,Brazil,2021-01-04 05:22:02,-12.6819,-56.9211,180380,4488,171057,4835,"Mato Grosso, Brazil",5176.689914609585,2.4880807184832023
,,Mato Grosso do Sul,Brazil,2021-01-04 05:22:02,-20.7722,-54.7852,135917,2372,120550,12995,"Mato Grosso do Sul, Brazil",4890.884660807935,1.7451827218081624
,,Minas Gerais,Brazil,2021-01-04 05:22:02,-18.5122,-44.555,550672,12037,496827,41808,"Minas Gerais, Brazil",2601.338923890363,2.1858747130778395
,,Para,Brazil,2021-01-04 05:22:02,-1.9981,-54.9306,294010,7217,276598,10195,"Para, Brazil",3417.582398421921,2.4546784122989016
,,Paraiba,Brazil,2021-01-04 05:22:02,-7.24,-36.782,168044,3706,127564,36774,"Paraiba, Brazil",4182.147552827474,2.205374782794982
,,Parana,Brazil,2021-01-04 05:22:02,-25.2521,-52.0215,421315,8028,306796,106491,"Parana, Brazil",3684.7698482686255,1.9054626585808718
,,Pernambuco,Brazil,2021-01-04 05:22:02,-8.8137,-36.9541,223540,9679,189942,23919,"Pernambuco, Brazil",2339.001143760468,4.32987384808088
,,Piaui,Brazil,2021-01-04 05:22:02,-7.7183,-42.7289,143489,2854,140229,406,"Piaui, Brazil",4383.716741918603,1.9890026413174529
,,Rio Grande do Norte,Brazil,2021-01-04 05:22:02,-5.4026,-36.9541,119079,3000,68394,47685,"Rio Grande do Norte, Brazil",3395.608541333212,2.5193359030559543
,,Rio Grande do Sul,Brazil,2021-01-04 05:22:02,-30.0346,-51.2177,454757,8954,432038,13765,"Rio Grande do Sul, Brazil",3997.0769709592987,1.9689636443199334
,,Rio de Janeiro,Brazil,2021-01-04 05:22:02,-22.9068,-43.1729,435739,25616,406061,4062,"Rio de Janeiro, Brazil",2523.8368872691904,5.878748516887403
,,Rondonia,Brazil,2021-01-04 05:22:02,-11.5057,-63.5806,96906,1832,81914,13160,"Rondonia, Brazil",5452.657935826921,1.8904918168121685
,,Roraima,Brazil,2021-01-04 05:22:02,-2.7376,-62.0751,68875,787,65405,2683,"Roraima, Brazil",11369.99575740267,1.142649727767695
,,Santa Catarina,Brazil,2021-01-04 05:22:02,-27.2423,-50.2189,497345,5314,469769,22262,"Santa Catarina, Brazil",6941.517320540398,1.068473594788326
,,Sao Paulo,Brazil,2021-01-04 05:22:02,-23.5505,-46.6333,1471422,46845,1294620,129957,"Sao Paulo, Brazil",3204.382564630204,3.1836549949640554
,,Sergipe,Brazil,2021-01-04 05:22:02,-10.5741,-37.3857,114685,2508,99959,12218,"Sergipe, Brazil",4989.132969300856,2.1868596590661378
,,Tocantins,Brazil,2021-01-04 05:22:02,-10.1753,-48.2982,90703,1242,81298,8163,"Tocantins, Brazil",5766.73410195147,1.3693042126500776
