FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,Acre,Brazil,2021-01-15 05:22:24,-9.0238,-70.812,44068,832,38970,4266,"Acre, Brazil",4996.740122571391,1.8879912861940638
,,Alagoas,Brazil,2021-01-15 05:22:24,-9.5713,-36.782,110112,2593,104330,3189,"Alagoas, Brazil",3299.3773216350537,2.354875036326649
,,Amapa,Brazil,2021-01-15 05:22:24,0.902,-52.003,72422,991,55665,15766,"Amapa, Brazil",8563.242922394946,1.3683687277346663
,,Amazonas,Brazil,2021-01-15 05:22:24,-3.4168,-65.8561,223360,5930,185989,31441,"Amazonas, Brazil",5389.185003994357,2.654906876790831
,,Bahia,Brazil,2021-01-15 05:22:24,-12.5797,-41.7007,523068,9543,505398,8127,"Bahia, Brazil",3516.881255940269,1.8244281814219183
,,Ceara,Brazil,2021-01-15 05:22:24,-5.4984,-39.3206,349575,10209,277775,61591,"Ceara, Brazil",3827.989642664024,2.9204033469212614
,,Distrito Federal,Brazil,2021-01-15 05:22:24,-15.7998,-47.8645,262222,4399,250567,7256,"Distrito Federal, Brazil",8696.474077926076,1.6775861674459047
,,Espirito Santo,Brazil,2021-01-15 05:22:24,-19.1834,-40.3089,270913,5448,251996,13469,"Espirito Santo, Brazil",6741.393253953443,2.010977693946027
,,Goias,Brazil,2021-01-15 05:22:24,-15.827,-49.8362,324917,7020,312813,5084,"Goias, Brazil",4629.532793586644,2.1605517716832296
,,Maranhao,Brazil,2021-01-15 05:22:24,-4.9609,-45.2744,202839,4588,191960,6291,"Maranhao, Brazil",2866.908987911405,2.2618924368587896
,,Mato Grosso,Brazil,2021-01-15 05:22:24,-12.6819,-56.9211,194917,4674,182330,7913,"Mato Grosso, Brazil",5593.8844000773715,2.3979437401560664
,,Mato Grosso do Sul,Brazil,2021-01-15 05:22:24,-20.7722,-54.7852,147249,2625,131722,12902,"Mato Grosso do Sul, Brazil",5298.65929515298,1.7826946193182975
,,Minas Gerais,Brazil,2021-01-15 05:22:24,-18.5122,-44.555,619846,13028,551068,55750,"Minas Gerais, Brazil",2928.1124273937044,2.1018123856570825
,,Para,Brazil,2021-01-15 05:22:24,-1.9981,-54.9306,306029,7366,286818,11845,"Para, Brazil",3557.291669693759,2.406961431759735
,,Paraiba,Brazil,2021-01-15 05:22:24,-7.24,-36.782,175227,3857,132009,39361,"Paraiba, Brazil",4360.9124350723605,2.2011448007441774
,,Parana,Brazil,2021-01-15 05:22:24,-25.2521,-52.0215,492654,8977,359423,124254,"Parana, Brazil",4308.692082714671,1.8221713413470713
,,Pernambuco,Brazil,2021-01-15 05:22:24,-8.8137,-36.9541,237453,9946,200524,26983,"Pernambuco, Brazil",2484.579218884112,4.188618379216098
,,Piaui,Brazil,2021-01-15 05:22:24,-7.7183,-42.7289,149686,2930,147016,-260,"Piaui, Brazil",4573.040610993371,1.957430888660262
,,Rio Grande do Norte,Brazil,2021-01-15 05:22:24,-5.4026,-36.9541,126890,3138,91645,32107,"Rio Grande do Norte, Brazil",3618.343854162122,2.4730081172669243
,,Rio Grande do Sul,Brazil,2021-01-15 05:22:24,-30.0346,-51.2177,495585,9790,468848,16947,"Rio Grande do Sul, Brazil",4355.933807842132,1.9754431631304419
,,Rio de Janeiro,Brazil,2021-01-15 05:22:24,-22.9068,-43.1729,473648,27441,438902,7305,"Rio de Janeiro, Brazil",2743.4089993810003,5.793542884167145
,,Rondonia,Brazil,2021-01-15 05:22:24,-11.5057,-63.5806,105952,1976,87181,16795,"Rondonia, Brazil",5961.653701697873,1.8649954696466324
,,Roraima,Brazil,2021-01-15 05:22:24,-2.7376,-62.0751,70346,800,67408,2138,"Roraima, Brazil",11612.830802907418,1.1372359480283172
,,Santa Catarina,Brazil,2021-01-15 05:22:24,-27.2423,-50.2189,533338,5794,503449,24095,"Santa Catarina, Brazil",7443.8769158277955,1.0863654943019248
,,Sao Paulo,Brazil,2021-01-15 05:22:24,-23.5505,-46.6333,1590829,49289,1376887,164653,"Sao Paulo, Brazil",3464.420615505343,3.0983216926520702
,,Sergipe,Brazil,2021-01-15 05:22:24,-10.5741,-37.3857,126204,2617,109313,14274,"Sergipe, Brazil",5490.243163950344,2.073626826408038
,,Tocantins,Brazil,2021-01-15 05:22:24,-10.1753,-48.2982,94945,1294,84733,8918,"Tocantins, Brazil",6036.432855691458,1.362894307230502
