FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,Acre,Brazil,2021-01-12 05:22:15,-9.0238,-70.812,43346,826,38970,3550,"Acre, Brazil",4914.87467897294,1.9055968255433027
,,Alagoas,Brazil,2021-01-12 05:22:15,-9.5713,-36.782,108820,2569,103446,2805,"Alagoas, Brazil",3260.664052422321,2.3607792685168167
,,Amapa,Brazil,2021-01-12 05:22:15,0.902,-52.003,71287,976,54715,15596,"Amapa, Brazil",8429.039493645143,1.3691135831217474
,,Amazonas,Brazil,2021-01-12 05:22:15,-3.4168,-65.8561,216112,5756,181460,28896,"Amazonas, Brazil",5214.306722704282,2.6634337750795885
,,Bahia,Brazil,2021-01-12 05:22:15,-12.5797,-41.7007,513756,9453,497735,6568,"Bahia, Brazil",3454.271426519781,1.8399785111998692
,,Ceara,Brazil,2021-01-12 05:22:15,-5.4984,-39.3206,345124,10160,276146,58818,"Ceara, Brazil",3779.249366902034,2.943869449820934
,,Distrito Federal,Brazil,2021-01-12 05:22:15,-15.7998,-47.8645,259797,4368,248948,6481,"Distrito Federal, Brazil",8616.050049282518,1.6813127172369196
,,Espirito Santo,Brazil,2021-01-12 05:22:15,-19.1834,-40.3089,265313,5354,243995,15964,"Espirito Santo, Brazil",6602.042974630784,2.017993841236577
,,Goias,Brazil,2021-01-12 05:22:15,-15.827,-49.8362,318013,6965,308161,2887,"Goias, Brazil",4531.1621499855955,2.1901620374009867
,,Maranhao,Brazil,2021-01-12 05:22:15,-4.9609,-45.2744,202050,4568,191545,5937,"Maranhao, Brazil",2855.757329741812,2.260826528087107
,,Mato Grosso,Brazil,2021-01-12 05:22:15,-12.6819,-56.9211,189132,4619,178504,6009,"Mato Grosso, Brazil",5427.861830191484,2.4422096736670684
,,Mato Grosso do Sul,Brazil,2021-01-12 05:22:15,-20.7722,-54.7852,144051,2565,128935,12551,"Mato Grosso do Sul, Brazil",5183.581349456241,1.7806193639752588
,,Minas Gerais,Brazil,2021-01-12 05:22:15,-18.5122,-44.555,595007,12736,531414,50857,"Minas Gerais, Brazil",2810.7745973778096,2.1404790195745598
,,Para,Brazil,2021-01-12 05:22:15,-1.9981,-54.9306,302125,7315,283711,11099,"Para, Brazil",3511.911438805561,2.4211832850641293
,,Paraiba,Brazil,2021-01-12 05:22:15,-7.24,-36.782,173299,3824,130673,38802,"Paraiba, Brazil",4312.929880016236,2.2065909208939463
,,Parana,Brazil,2021-01-12 05:22:15,-25.2521,-52.0215,474949,8768,350073,116108,"Parana, Brazil",4153.846301853329,1.846092948927148
,,Pernambuco,Brazil,2021-01-12 05:22:15,-8.8137,-36.9541,232756,9851,198249,24656,"Pernambuco, Brazil",2435.432362069927,4.232329134372476
,,Piaui,Brazil,2021-01-12 05:22:15,-7.7183,-42.7289,147509,2906,144740,-137,"Piaui, Brazil",4506.531322147837,1.970049285128365
,,Rio Grande do Norte,Brazil,2021-01-12 05:22:15,-5.4026,-36.9541,124523,3098,88210,33215,"Rio Grande do Norte, Brazil",3550.8474407110875,2.487893802751299
,,Rio Grande do Sul,Brazil,2021-01-12 05:22:15,-30.0346,-51.2177,482062,9498,457266,15298,"Rio Grande do Sul, Brazil",4237.0736872100515,1.9702859798117254
,,Rio de Janeiro,Brazil,2021-01-12 05:22:15,-22.9068,-43.1729,461561,26771,428991,5799,"Rio de Janeiro, Brazil",2673.4000801508587,5.800100095112022
,,Rondonia,Brazil,2021-01-12 05:22:15,-11.5057,-63.5806,102518,1926,85353,15239,"Rondonia, Brazil",5768.431121551856,1.878694473165688
,,Roraima,Brazil,2021-01-12 05:22:15,-2.7376,-62.0751,69785,793,66262,2730,"Roraima, Brazil",11520.220020767269,1.1363473525829333
,,Santa Catarina,Brazil,2021-01-12 05:22:15,-27.2423,-50.2189,522478,5677,494693,22108,"Santa Catarina, Brazil",7292.302298407155,1.0865529266304035
,,Sao Paulo,Brazil,2021-01-12 05:22:15,-23.5505,-46.6333,1549142,48379,1370112,130651,"Sao Paulo, Brazil",3373.636940956683,3.122954512885197
,,Sergipe,Brazil,2021-01-12 05:22:15,-10.5741,-37.3857,123836,2585,107105,14146,"Sergipe, Brazil",5387.228237226671,2.0874382247488614
,,Tocantins,Brazil,2021-01-12 05:22:15,-10.1753,-48.2982,93261,1274,83825,8162,"Tocantins, Brazil",5929.367155243994,1.366058695489004
