FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,Acre,Brazil,2021-01-02 05:22:33,-9.0238,-70.812,41689,796,33670,7223,"Acre, Brazil",4726.992352044085,1.9093765741562523
,,Alagoas,Brazil,2021-01-02 05:22:33,-9.5713,-36.782,105091,2496,99710,2885,"Alagoas, Brazil",3148.9289278911424,2.375084450618987
,,Amapa,Brazil,2021-01-02 05:22:33,0.902,-52.003,68361,926,52670,14765,"Amapa, Brazil",8083.066601555341,1.3545735141381783
,,Amazonas,Brazil,2021-01-02 05:22:33,-3.4168,-65.8561,201574,5295,170178,26101,"Amazonas, Brazil",4863.536792600101,2.62682687251332
,,Bahia,Brazil,2021-01-02 05:22:33,-12.5797,-41.7007,494684,9159,478198,7327,"Bahia, Brazil",3326.0396109369262,1.851484988396633
,,Ceara,Brazil,2021-01-02 05:22:33,-5.4984,-39.3206,335992,9993,269846,56153,"Ceara, Brazil",3679.2502210340294,2.9741779566180147
,,Distrito Federal,Brazil,2021-01-02 05:22:33,-15.7998,-47.8645,252077,4263,241952,5862,"Distrito Federal, Brazil",8360.019739538906,1.6911499264113743
,,Espirito Santo,Brazil,2021-01-02 05:22:33,-19.1834,-40.3089,249260,5087,227931,16242,"Espirito Santo, Brazil",6202.580468565314,2.0408408890315335
,,Goias,Brazil,2021-01-02 05:22:33,-15.827,-49.8362,309112,6805,298401,3906,"Goias, Brazil",4404.33754125255,2.201467429281296
,,Maranhao,Brazil,2021-01-02 05:22:33,-4.9609,-45.2744,200959,4506,190884,5569,"Maranhao, Brazil",2840.337229535188,2.242248418831702
,,Mato Grosso,Brazil,2021-01-02 05:22:33,-12.6819,-56.9211,179704,4467,170171,5066,"Mato Grosso, Brazil",5157.289524420672,2.4857543516004097
,,Mato Grosso do Sul,Brazil,2021-01-02 05:22:33,-20.7722,-54.7852,134750,2347,117816,14587,"Mato Grosso do Sul, Brazil",4848.8909264026515,1.741743970315399
,,Minas Gerais,Brazil,2021-01-02 05:22:33,-18.5122,-44.555,546884,12001,494278,40605,"Minas Gerais, Brazil",2583.4446568063336,2.1944324573401306
,,Para,Brazil,2021-01-02 05:22:33,-1.9981,-54.9306,293802,7199,275483,11120,"Para, Brazil",3415.1645992352546,2.450289650853296
,,Paraiba,Brazil,2021-01-02 05:22:33,-7.24,-36.782,167062,3680,127030,36352,"Paraiba, Brazil",4157.708305387062,2.202775017658115
,,Parana,Brazil,2021-01-02 05:22:33,-25.2521,-52.0215,418323,7993,305194,105136,"Parana, Brazil",3658.602179455459,1.9107244880152419
,,Pernambuco,Brazil,2021-01-02 05:22:33,-8.8137,-36.9541,222993,9666,189850,23477,"Pernambuco, Brazil",2333.2776328647133,4.33466521370626
,,Piaui,Brazil,2021-01-02 05:22:33,-7.7183,-42.7289,143179,2840,139971,368,"Piaui, Brazil",4374.245965831273,1.9835311044217379
,,Rio Grande do Norte,Brazil,2021-01-02 05:22:33,-5.4026,-36.9541,118353,2993,68394,46966,"Rio Grande do Norte, Brazil",3374.9062193368236,2.528875482666261
,,Rio Grande do Sul,Brazil,2021-01-02 05:22:33,-30.0346,-51.2177,451912,8917,424406,18589,"Rio Grande do Sul, Brazil",3972.070904021617,1.973171767954823
,,Rio de Janeiro,Brazil,2021-01-02 05:22:33,-22.9068,-43.1729,435390,25600,397324,12466,"Rio de Janeiro, Brazil",2521.8154499554385,5.879785939043157
,,Rondonia,Brazil,2021-01-02 05:22:33,-11.5057,-63.5806,95999,1822,81122,13055,"Rondonia, Brazil",5401.623317250207,1.8979364368378837
,,Roraima,Brazil,2021-01-02 05:22:33,-2.7376,-62.0751,68710,787,65405,2518,"Roraima, Brazil",11342.757292067334,1.1453936835977296
,,Santa Catarina,Brazil,2021-01-02 05:22:33,-27.2423,-50.2189,494447,5270,467020,22157,"Santa Catarina, Brazil",6901.0695082673765,1.0658371878077935
,,Sao Paulo,Brazil,2021-01-02 05:22:33,-23.5505,-46.6333,1466191,46775,1287986,131430,"Sao Paulo, Brazil",3192.9907781844518,3.190239198030816
,,Sergipe,Brazil,2021-01-02 05:22:33,-10.5741,-37.3857,113544,2492,99824,11228,"Sergipe, Brazil",4939.496131719897,2.19474388783203
,,Tocantins,Brazil,2021-01-02 05:22:33,-10.1753,-48.2982,90536,1236,80658,8642,"Tocantins, Brazil",5756.116541396406,1.3652027922594328
