FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,Acre,Brazil,2021-01-10 05:22:12,-9.0238,-70.812,42908,823,38323,3762,"Acre, Brazil",4865.211155017093,1.9180572387433579
,,Alagoas,Brazil,2021-01-10 05:22:12,-9.5713,-36.782,108109,2553,102819,2737,"Alagoas, Brazil",3239.3597688230543,2.36150551757948
,,Amapa,Brazil,2021-01-10 05:22:12,0.902,-52.003,70676,969,53921,15786,"Amapa, Brazil",8356.794299842384,1.3710453336351802
,,Amazonas,Brazil,2021-01-10 05:22:12,-3.4168,-65.8561,212996,5669,177124,30203,"Amazonas, Brazil",5139.124503540393,2.6615523296212134
,,Bahia,Brazil,2021-01-10 05:22:12,-12.5797,-41.7007,511192,9392,494972,6828,"Bahia, Brazil",3437.0322080238475,1.8372744487394168
,,Ceara,Brazil,2021-01-10 05:22:12,-5.4984,-39.3206,343887,10137,275120,58630,"Ceara, Brazil",3765.703709495254,2.947770633958248
,,Distrito Federal,Brazil,2021-01-10 05:22:12,-15.7998,-47.8645,258153,4351,247471,6331,"Distrito Federal, Brazil",8561.52753254437,1.685434606609259
,,Espirito Santo,Brazil,2021-01-10 05:22:12,-19.1834,-40.3089,262113,5306,241241,15566,"Espirito Santo, Brazil",6522.414243589265,2.0243177560823002
,,Goias,Brazil,2021-01-10 05:22:12,-15.827,-49.8362,317024,6964,305531,4529,"Goias, Brazil",4517.070526793034,2.1966791157767234
,,Maranhao,Brazil,2021-01-10 05:22:12,-4.9609,-45.2744,201915,4555,191535,5825,"Maranhao, Brazil",2853.8492513477745,2.2558997597999157
,,Mato Grosso,Brazil,2021-01-10 05:22:12,-12.6819,-56.9211,188098,4595,177150,6353,"Mato Grosso, Brazil",5398.187268867023,2.4428755223341025
,,Mato Grosso do Sul,Brazil,2021-01-10 05:22:12,-20.7722,-54.7852,142765,2525,127813,12427,"Mato Grosso do Sul, Brazil",5137.30547760946,1.7686407732987777
,,Minas Gerais,Brazil,2021-01-10 05:22:12,-18.5122,-44.555,587868,12594,526820,48454,"Minas Gerais, Brazil",2777.0504229551893,2.1423176631488703
,,Para,Brazil,2021-01-10 05:22:12,-1.9981,-54.9306,300454,7292,282032,11130,"Para, Brazil",3492.487677070372,2.426993816025082
,,Paraiba,Brazil,2021-01-10 05:22:12,-7.24,-36.782,172261,3800,130400,38061,"Paraiba, Brazil",4287.096948404071,2.2059549172476647
,,Parana,Brazil,2021-01-10 05:22:12,-25.2521,-52.0215,471639,8742,345539,117358,"Parana, Brazil",4124.897443640903,1.8535362851672572
,,Pernambuco,Brazil,2021-01-10 05:22:12,-8.8137,-36.9541,230891,9826,196457,24608,"Pernambuco, Brazil",2415.918015048753,4.255687748764569
,,Piaui,Brazil,2021-01-10 05:22:12,-7.7183,-42.7289,146779,2895,143770,114,"Piaui, Brazil",4484.229172006708,1.9723529932756048
,,Rio Grande do Norte,Brazil,2021-01-10 05:22:12,-5.4026,-36.9541,123783,3086,88210,32487,"Rio Grande do Norte, Brazil",3529.7459003841905,2.4930725543895367
,,Rio Grande do Sul,Brazil,2021-01-10 05:22:12,-30.0346,-51.2177,478501,9413,452882,16206,"Rio Grande do Sul, Brazil",4205.7743535140635,1.9671850215569038
,,Rio de Janeiro,Brazil,2021-01-10 05:22:12,-22.9068,-43.1729,459866,26704,426213,6949,"Rio de Janeiro, Brazil",2663.5824977817765,5.806908969134487
,,Rondonia,Brazil,2021-01-10 05:22:12,-11.5057,-63.5806,101024,1908,84316,14800,"Rondonia, Brazil",5684.367483014251,1.8886601203674374
,,Roraima,Brazil,2021-01-10 05:22:12,-2.7376,-62.0751,69640,793,66262,2585,"Roraima, Brazil",11496.283187593786,1.1387133831131533
,,Santa Catarina,Brazil,2021-01-10 05:22:12,-27.2423,-50.2189,518805,5611,490200,22994,"Santa Catarina, Brazil",7241.0376971377245,1.0815238866240688
,,Sao Paulo,Brazil,2021-01-10 05:22:12,-23.5505,-46.6333,1540513,48298,1350513,141702,"Sao Paulo, Brazil",3354.8451754739085,3.1351893817189467
,,Sergipe,Brazil,2021-01-10 05:22:12,-10.5741,-37.3857,121222,2563,105553,13106,"Sergipe, Brazil",5273.511590919374,2.114302684331227
,,Tocantins,Brazil,2021-01-10 05:22:12,-10.1753,-48.2982,92916,1267,83223,8426,"Tocantins, Brazil",5907.432673857786,1.3635972276034267
