FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,Acre,Brazil,2021-01-11 05:21:50,-9.0238,-70.812,43127,825,38323,3979,"Acre, Brazil",4890.042916995017,1.9129547615183065
,,Alagoas,Brazil,2021-01-11 05:21:50,-9.5713,-36.782,108542,2561,103193,2788,"Alagoas, Brazil",3252.334107498838,2.3594553260489026
,,Amapa,Brazil,2021-01-11 05:21:50,0.902,-52.003,70902,969,53921,16012,"Amapa, Brazil",8383.516744685958,1.3666751290513666
,,Amazonas,Brazil,2021-01-11 05:21:50,-3.4168,-65.8561,213961,5701,177124,31136,"Amazonas, Brazil",5162.407828794935,2.6645042788171676
,,Bahia,Brazil,2021-01-11 05:21:50,-12.5797,-41.7007,512841,9424,496542,6875,"Bahia, Brazil",3448.1193653170585,1.8376065876168246
,,Ceara,Brazil,2021-01-11 05:21:50,-5.4984,-39.3206,344813,10155,275120,59538,"Ceara, Brazil",3775.843789332505,2.9450745766545925
,,Distrito Federal,Brazil,2021-01-11 05:21:50,-15.7998,-47.8645,258811,4356,247471,6984,"Distrito Federal, Brazil",8583.349805058788,1.6830814764442006
,,Espirito Santo,Brazil,2021-01-11 05:21:50,-19.1834,-40.3089,263483,5321,241241,16921,"Espirito Santo, Brazil",6556.5052940664145,2.019485128072779
,,Goias,Brazil,2021-01-11 05:21:50,-15.827,-49.8362,317322,6964,306128,4230,"Goias, Brazil",4521.316536612429,2.194616194275846
,,Maranhao,Brazil,2021-01-11 05:21:50,-4.9609,-45.2744,201945,4562,191535,5848,"Maranhao, Brazil",2854.273268768672,2.2590309242615563
,,Mato Grosso,Brazil,2021-01-11 05:21:50,-12.6819,-56.9211,188098,4595,177150,6353,"Mato Grosso, Brazil",5398.187268867023,2.4428755223341025
,,Mato Grosso do Sul,Brazil,2021-01-11 05:21:50,-20.7722,-54.7852,143596,2546,128556,12494,"Mato Grosso do Sul, Brazil",5167.208471003452,1.7730298894119614
,,Minas Gerais,Brazil,2021-01-11 05:21:50,-18.5122,-44.555,592311,12709,530061,49541,"Minas Gerais, Brazil",2798.038867689704,2.1456633423995166
,,Para,Brazil,2021-01-11 05:21:50,-1.9981,-54.9306,301501,7304,282575,11622,"Para, Brazil",3504.6580412455623,2.422545862202779
,,Paraiba,Brazil,2021-01-11 05:21:50,-7.24,-36.782,172776,3808,130623,38345,"Paraiba, Brazil",4299.913865340743,2.2040098161781727
,,Parana,Brazil,2021-01-11 05:21:50,-25.2521,-52.0215,473279,8749,349372,115158,"Parana, Brazil",4139.240684567906,1.8485924792775508
,,Pernambuco,Brazil,2021-01-11 05:21:50,-8.8137,-36.9541,232037,9840,196457,25740,"Pernambuco, Brazil",2427.909136596349,4.240702991333278
,,Piaui,Brazil,2021-01-11 05:21:50,-7.7183,-42.7289,147038,2897,143770,371,"Piaui, Brazil",4492.141852673219,1.970238985840395
,,Rio Grande do Norte,Brazil,2021-01-11 05:21:50,-5.4026,-36.9541,124278,3090,88210,32978,"Rio Grande do Norte, Brazil",3543.861119927183,2.486361222420702
,,Rio Grande do Sul,Brazil,2021-01-11 05:21:50,-30.0346,-51.2177,480480,9439,455391,15650,"Rio Grande do Sul, Brazil",4223.1687318865315,1.9644938394938396
,,Rio de Janeiro,Brazil,2021-01-11 05:21:50,-22.9068,-43.1729,460927,26749,427837,6341,"Rio de Janeiro, Brazil",2669.7278988989424,5.803305078678402
,,Rondonia,Brazil,2021-01-11 05:21:50,-11.5057,-63.5806,101588,1911,84316,15361,"Rondonia, Brazil",5716.1023505746325,1.8811276922471158
,,Roraima,Brazil,2021-01-11 05:21:50,-2.7376,-62.0751,69732,793,66262,2677,"Roraima, Brazil",11511.470695538339,1.1372110365398955
,,Santa Catarina,Brazil,2021-01-11 05:21:50,-27.2423,-50.2189,520577,5637,490200,24740,"Santa Catarina, Brazil",7265.769761784996,1.082836929022988
,,Sao Paulo,Brazil,2021-01-11 05:21:50,-23.5505,-46.6333,1546132,48351,1360789,136992,"Sao Paulo, Brazil",3367.0819271540227,3.127223290120119
,,Sergipe,Brazil,2021-01-11 05:21:50,-10.5741,-37.3857,122594,2574,105553,14467,"Sergipe, Brazil",5333.197604206906,2.0996133579131118
,,Tocantins,Brazil,2021-01-11 05:21:50,-10.1753,-48.2982,93099,1270,83616,8213,"Tocantins, Brazil",5919.067485723514,1.364139249616
